TR Period,TR Start Date,TR End Date,Country/Region,Legal Violation Takedown Requests Received,Apps Specified in Requests,Requests Challenged in Part or Rejected in Full,Requests where App Removed,Apps Removed
2018 H2,7/1/18,12/31/18,Austria,1,5,0,1,5
2018 H2,7/1/18,12/31/18,China mainland,56,626,2,55,517
2018 H2,7/1/18,12/31/18,Kuwait,1,6,1,1,5
2018 H2,7/1/18,12/31/18,Lebanon,1,1,0,1,1
2018 H2,7/1/18,12/31/18,Netherlands,2,8,0,2,8
2018 H2,7/1/18,12/31/18,Norway,1,37,0,1,37
2018 H2,7/1/18,12/31/18,Russia,10,11,0,9,10
2018 H2,7/1/18,12/31/18,Saudi Arabia,1,25,0,1,25
2018 H2,7/1/18,12/31/18,Switzerland,1,19,0,1,15
2018 H2,7/1/18,12/31/18,Turkey,3,3,1,2,2
2018 H2,7/1/18,12/31/18,Vietnam,3,29,3,1,9
