,Call-logs,Contacts,Credit-Card-Information,Facebook-Twitter-Instagram-profile,Health-and-Fitness-Data,IP-address,Location,Photos,Videos,Voice-Recordings,Your-friend's-family's-information,travel-log
,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
,No,No,No,No,No,No,Yes,No,No,No,No,No
,No,No,No,No,Yes,No,Yes,No,No,No,No,No
,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
,No,No,No,No,No,No,Yes,No,No,No,No,No
,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,No,No,No,No,Yes,No,Yes,No,No,No,No,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,No,No,No,No,Yes,No,No,No,No,No,No,No
,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
,No,No,No,No,Yes,No,Yes,No,No,No,No,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
,No,No,No,No,Yes,No,Yes,No,No,No,No,No
,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
